USAF,WBAN,ICAO,STATION NAME
722025,12849,KFLL,FORT LAUDERDALE HOL
722050,12815,KMCO,ORLANDO INTERNATIONAL AIRPORT
722110,12842,KTPA,TAMPA INTERNATIONAL AIRPORT
722190,13874,KATL,HARTSFIELD-JACKSON ATLANTA INTL AP
722310,12916,KMSY,LOUIS ARMSTRONG NEW ORLEANS INTL AP
722435,12918,KHOU,WILLIAM P HOBBY
722440,12918,KHOU,WILLIAM P. HOBBY AIRPORT
722530,12921,KSAT,SAN ANTONIO INTERNATIONAL AIRPORT
722540,13904,KAUS,AUSTIN-BERGSTROM INTL AIRPORT
722545,13904,KAUS,BERGSTROM AFB/AUSTI
722580,13960,KDAL,DALLAS LOVE FIELD AIRPORT
722581,13960,KDAL,DALLAS LOVE FIELD
722583,13960,KDAL,DALLAS LOVE FLD
722780,23183,KPHX,PHOENIX SKY HARBOR INTL AIRPORT
722900,23188,KSAN,SAN DIEGO INTERNATIONAL AIRPORT
722950,23174,KLAX,LOS ANGELES INTERNATIONAL AIRPORT
722977,93184,KSNA,J. WAYNE APT-ORANGE CO APT
722977,99999,KSNA,JOHN WAYNE ARPT ORA
723060,13722,KRDU,RALEIGH-DURHAM INTERNATIONAL AP
723270,13897,KBNA,NASHVILLE INTERNATIONAL AIRPORT
723860,23169,KLAS,MCCARRAN INTERNATIONAL AIRPORT
724060,93721,KBWI,BALTIMORE-WASHINGTON INTL AIRPORT
724340,13994,KSTL,LAMBERT-ST LOUIS INTERNATIONAL AP
724460,3947,KMCI,KANSAS CITY INTERNATIONAL AIRPORT
724670,3017,KDEN,DENVER INTL AP
724839,93225,KSMF,SACRAMENTO INTL AIRPORT
724839,99999,KSMF,SACRAMENTO INTL
724930,23230,KOAK,METRO OAKLAND INTL AIRPORT
724930,99999,KOAK,OAKLAND/METROP. OAK
724945,23293,KSJC,N Y. MINETA SN JO INTL APT
725090,14739,KBOS,GEN E L LOGAN INTERNATIONAL AIRPORT
725340,14819,KMDW,CHICAGO MIDWAY INTL ARPT
725650,3017,KDEN,DENVER INTERNATIONAL AIRPORT
747830,12849,KFLL,FT LAUD/HOLLYWOOD INTL APT
999999,3947,KMCI,KANSAS CITY INTERNATIONAL AIRPORT
999999,12815,KMCO,PINECASTLE AAF
999999,12842,KTPA,TAMPA INTL ARPT
999999,12849,KFLL,FORT LAUDERDALE HOLLYWOOD INT
999999,12918,KHOU,HOUSTON WILLIAM P HOBBY AP
999999,13874,KATL,ATLANTA HARTSFIELD INTL AP
999999,13897,KBNA,NASHVILLE BERRY FIELD
999999,13904,KAUS,AUSTIN-BERGSTROM INTL AIRPORT
999999,13994,KSTL,ST LOUIS LAMBERT INT'L ARPT
999999,14819,KMDW,CHICAGO MIDWAY AP
999999,23169,KLAS,LAS VEGAS MCCARRAN INTL AP
999999,23174,KLAX,LOS ANGELES MUNICIPAL ARPT
999999,23183,KPHX,PHOENIX SKY HARBOR INTL AP
999999,23188,KSAN,SAN DIEGO LINDBERGH FIELD
999999,23230,KOAK,OAKLAND METROPOLITAN
999999,23293,KSJC,SAN JOSE MUNICIPAL AP
999999,93184,KSNA,SANTA ANA
999999,93721,KBWI,BALTIMORE BLT-WASHNG
